开始时间,结束时间,报警保持时间,报警类型,是否需要回原点,报警内容,报警来源,报警等级
25-12-01 08:10:55.600,25-12-01 08:11:02.560,6960.852,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-12-01 08:12:28.758,25-12-01 08:12:31.304,2546.743,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-12-01 08:15:34.468,25-12-01 08:15:37.108,2640.100,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-12-01 08:44:31.602,25-12-01 08:44:34.463,2861.375,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-12-01 09:24:26.567,25-12-01 09:25:21.502,54934.966,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-12-01 09:32:18.063,25-12-01 09:32:26.668,8604.631,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
