开始时间,结束时间,报警保持时间,报警类型,是否需要回原点,报警内容,报警来源,报警等级
25-11-28 16:14:10.994,25-11-28 16:14:14.626,3631.851,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 16:17:29.675,25-11-28 16:17:32.328,2653.120,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 16:24:38.093,25-11-28 16:24:40.813,2719.541,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 16:24:50.912,25-11-28 16:24:57.788,6875.454,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 16:25:26.418,25-11-28 16:25:29.428,3010.305,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 16:27:52.146,25-11-28 16:27:56.234,4087.747,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 16:28:08.266,25-11-28 16:28:13.766,5500.486,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 16:34:57.490,25-11-28 16:34:59.931,2441.203,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 16:39:58.621,25-11-28 16:40:01.132,2510.704,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 16:40:08.342,25-11-28 16:40:17.273,8931.010,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 16:44:10.349,25-11-28 16:44:12.782,2432.834,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 16:44:37.980,25-11-28 16:45:40.845,62865.450,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 16:45:50.605,25-11-28 16:46:29.493,38887.928,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 16:59:04.927,25-11-28 16:59:07.515,2587.828,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 16:59:19.124,25-11-28 16:59:29.905,10781.136,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 17:03:50.799,25-11-28 17:03:53.988,3188.298,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 17:16:29.130,25-11-28 17:16:31.900,2770.288,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 17:16:42.254,25-11-28 17:16:52.428,10174.346,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 17:30:21.520,25-11-28 17:30:23.875,2354.984,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 17:30:34.499,25-11-28 17:30:37.026,2526.929,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 17:34:38.900,25-11-28 17:34:41.140,2239.397,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 17:34:50.526,25-11-28 17:34:53.556,3029.819,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
