开始时间,结束时间,报警保持时间,报警类型,是否需要回原点,报警内容,报警来源,报警等级
25-11-28 09:56:54.902,25-11-28 09:56:57.336,2434.094,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 10:01:52.088,25-11-28 10:01:55.299,3210.919,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 10:03:50.288,25-11-28 10:03:53.155,2867.739,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 10:13:24.354,25-11-28 10:13:26.950,2596.040,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 10:16:59.854,25-11-28 10:17:02.615,2761.166,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 10:18:09.090,25-11-28 10:18:31.056,21966.209,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 10:18:44.015,25-11-28 10:19:39.575,55559.726,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 10:19:53.028,25-11-28 10:20:08.062,15033.333,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 10:20:17.076,25-11-28 10:20:47.035,29959.404,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 10:25:20.416,25-11-28 10:25:23.085,2668.733,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 10:25:36.911,25-11-28 10:25:52.673,15762.120,DEFAULT,不需要回原点,"动作列表\计算器2:计算结果验证失败! 误差:1.0000",未定义,Info
25-11-28 10:35:09.480,25-11-28 10:35:12.107,2627.386,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 10:36:40.703,25-11-28 10:36:43.030,2327.320,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 10:39:45.381,25-11-28 10:39:48.031,2649.654,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 10:50:33.291,25-11-28 10:50:36.137,2845.641,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 10:58:45.560,25-11-28 10:58:49.129,3569.497,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 11:02:55.041,25-11-28 11:02:57.875,2834.397,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 11:07:02.216,25-11-28 11:07:04.967,2751.482,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 11:11:59.132,25-11-28 11:12:01.815,2683.375,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 11:29:43.941,25-11-28 11:29:46.588,2647.173,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 11:54:25.363,25-11-28 11:54:28.334,2970.897,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 11:55:53.373,25-11-28 11:55:56.010,2636.458,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 13:32:46.523,25-11-28 13:32:49.676,3152.612,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 14:37:00.412,25-11-28 14:37:03.592,3180.042,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-28 14:38:10.207,25-11-28 14:38:12.616,2408.294,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
