开始时间,结束时间,报警保持时间,报警类型,是否需要回原点,报警内容,报警来源,报警等级
25-11-29 14:21:50.265,25-11-29 14:21:52.733,2468.584,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 14:24:51.716,25-11-29 14:24:54.360,2643.924,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 14:29:12.609,25-11-29 14:29:15.125,2516.307,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:08:37.740,25-11-29 15:08:41.513,3772.994,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:15:03.669,25-11-29 15:15:06.165,2495.425,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:21:06.048,25-11-29 15:21:08.446,2397.949,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:24:52.044,25-11-29 15:24:55.602,3558.336,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:29:20.560,25-11-29 15:29:22.989,2429.754,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:34:42.252,25-11-29 15:34:45.968,3716.152,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:37:45.793,25-11-29 15:37:48.169,2375.629,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:48:36.068,25-11-29 15:48:38.369,2301.433,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:53:47.860,25-11-29 15:53:49.936,2075.961,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:58:48.609,25-11-29 15:58:50.766,2156.928,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 15:59:26.134,25-11-29 15:59:28.478,2344.143,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 16:03:02.487,25-11-29 16:03:05.308,2820.051,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 16:04:08.824,25-11-29 16:04:11.482,2657.401,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 16:04:59.512,25-11-29 16:05:01.908,2396.549,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 16:23:26.656,25-11-29 16:23:41.001,14344.782,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 16:31:44.371,25-11-29 16:31:46.740,2369.051,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 16:36:20.418,25-11-29 16:36:23.449,3031.544,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 16:47:52.426,25-11-29 16:47:55.255,2829.133,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 16:52:39.533,25-11-29 16:52:42.575,3041.718,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 16:57:33.304,25-11-29 16:57:35.656,2351.409,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 17:19:10.510,25-11-29 17:19:12.897,2386.631,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 17:32:46.867,25-11-29 17:32:49.651,2783.918,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 17:42:19.035,25-11-29 17:42:21.313,2278.103,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
25-11-29 17:49:07.392,25-11-29 17:49:09.733,2341.262,DEFAULT,不需要回原点,没有检测到加密狗，请插入加密狗或查看加密狗是否损坏。,DEFAULT,Info
